fund_code,最新净值,RSI,净值/MA50,MACD信号,布林带位置,投资建议,行动信号
001407,3.8350,42.93,1.08,死叉,中轨,观察,弱买入
017747,1.7296,43.01,1.09,死叉,中轨,观察,弱买入
002112,3.1559,43.06,1.09,死叉,中轨,观察,弱买入
014544,1.6387,43.08,1.05,死叉,中轨,观察,弱买入
014262,1.2852,43.14,1.05,死叉,中轨,观察,弱买入
019331,1.8528,43.17,1.05,死叉,中轨,观察,弱买入
010422,1.4058,43.31,1.02,死叉,中轨,观察,弱买入
019170,1.9129,43.41,1.05,死叉,中轨,观察,弱买入
011370,1.5883,43.52,1.07,死叉,中轨,观察,弱买入
015881,1.5267,43.52,1.01,死叉,中轨,观察,弱买入
016463,1.8790,43.56,1.05,死叉,中轨,观察,弱买入
012083,1.2681,43.73,1.08,死叉,中轨,观察,弱买入
009009,2.2218,43.78,1.07,死叉,中轨,观察,弱买入
010392,1.5661,43.95,1.10,死叉,中轨,观察,弱买入
014419,1.1544,44.00,1.09,死叉,中轨,观察,弱买入
019018,5.0450,44.09,1.10,死叉,中轨,观察,弱买入
011452,1.4998,44.14,1.07,死叉,中轨,观察,弱买入
009239,2.2648,44.16,1.07,死叉,中轨,观察,弱买入
014417,1.2432,44.20,1.08,死叉,中轨,观察,弱买入
008586,1.3428,44.21,1.07,死叉,中轨,观察,弱买入
011840,1.4889,44.23,1.07,死叉,中轨,观察,弱买入
012734,1.6998,44.28,1.07,死叉,中轨,观察,弱买入
009856,1.7483,44.30,1.09,死叉,中轨,观察,弱买入
014320,1.8355,44.30,1.12,死叉,中轨,观察,弱买入
015642,1.6398,44.30,1.03,死叉,中轨,观察,弱买入
011833,1.4412,44.51,1.07,死叉,中轨,观察,弱买入
013370,1.6486,44.56,1.11,死叉,中轨,观察,弱买入
015044,1.5600,44.56,1.07,死叉,中轨,观察,弱买入
017470,1.9723,44.62,1.11,死叉,中轨,观察,弱买入
014601,1.4665,44.63,1.08,死叉,中轨,观察,弱买入
021608,2.4414,44.66,1.11,死叉,中轨,观察,弱买入
018994,2.8953,44.69,1.09,死叉,中轨,观察,弱买入
020662,1.8216,44.71,1.06,死叉,中轨,观察,弱买入
019924,1.6966,44.72,1.01,死叉,中轨,观察,弱买入
021475,2.0910,44.72,1.09,死叉,中轨,观察,弱买入
015715,1.4269,44.74,1.08,死叉,中轨,观察,弱买入
016371,1.4909,44.77,1.07,死叉,中轨,观察,弱买入
020671,2.4091,44.82,1.11,死叉,中轨,观察,弱买入
021225,2.5270,44.88,1.12,死叉,中轨,观察,弱买入
019830,2.2127,44.92,1.09,死叉,中轨,观察,弱买入
020629,2.3697,44.94,1.11,死叉,中轨,观察,弱买入
021500,2.5860,44.94,1.08,死叉,中轨,观察,弱买入
020227,1.7289,44.97,1.08,死叉,中轨,观察,弱买入
018125,2.2449,30.58,0.99,死叉,中轨,等待回调,弱买入
019994,1.6184,30.66,0.95,死叉,中轨,等待回调,弱买入
014939,1.9225,30.68,0.98,死叉,中轨,等待回调,弱买入
018241,1.5570,32.81,1.00,死叉,中轨,等待回调,弱买入
021490,2.4211,32.81,1.00,死叉,中轨,等待回调,弱买入
008843,0.7741,32.97,0.96,死叉,中轨,等待回调,弱买入
011270,1.2442,33.91,1.00,死叉,中轨,等待回调,弱买入
015290,1.7263,34.58,0.96,死叉,中轨,等待回调,弱买入
017484,1.6880,35.29,0.98,死叉,中轨,等待回调,弱买入
005312,1.9946,35.77,0.99,死叉,中轨,等待回调,弱买入
020592,1.9246,36.00,0.97,死叉,中轨,等待回调,弱买入
002580,1.3460,39.46,0.98,死叉,中轨,等待回调,弱买入
007771,0.9900,41.09,0.97,死叉,中轨,等待回调,弱买入
011372,0.6995,41.46,1.00,死叉,中轨,等待回调,弱买入
016244,1.9571,41.49,1.00,死叉,中轨,等待回调,弱买入
010052,1.8002,42.12,0.98,死叉,中轨,等待回调,弱买入
019190,1.6881,42.30,1.00,死叉,中轨,等待回调,弱买入
011223,1.5554,42.39,0.98,死叉,中轨,等待回调,弱买入
017836,1.9192,45.74,0.99,死叉,中轨,等待回调,弱买入
