代码,代码,名称,类型,成立日期,基金经理,公司名称,基金简称,基金类型,发行时间,估值日期,估值涨幅,累计净值,单位净值,申购净值,申购报价,净值日期,申购状态,赎回状态,费率,申购步长
015105,015105,博道研究恒选混合C,未知,未知,未知,未知,博道研究恒选混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
005939,005939,工银新能源汽车混合A,未知,未知,未知,未知,工银新能源汽车混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
012199,012199,国金核心资产一年持有C,未知,未知,未知,未知,国金核心资产一年持有C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016014,016014,南方碳中和股票发起C,未知,未知,未知,未知,南方碳中和股票发起C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020110,020110,富国恒生港股通创新药及医疗保健ETF发起式联接A,未知,未知,未知,未知,富国恒生港股通创新药及医疗保健ETF发起式联接A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.12,10
007029,007029,易方达中证500ETF联接发起式C,未知,未知,未知,未知,易方达中证500ETF联接发起式C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015146,015146,同泰新能源1年持有股票C,未知,未知,未知,未知,同泰新能源1年持有股票C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
005940,005940,工银新能源汽车混合C,未知,未知,未知,未知,工银新能源汽车混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020111,020111,富国恒生港股通创新药及医疗保健ETF发起式联接C,未知,未知,未知,未知,富国恒生港股通创新药及医疗保健ETF发起式联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016019,016019,招商中证电池主题ETF联接A,未知,未知,未知,未知,招商中证电池主题ETF联接A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.12,10
007067,007067,浦银安盛先进制造混合C,未知,未知,未知,未知,浦银安盛先进制造混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012223,012223,信澳成长精选混合A,未知,未知,未知,未知,信澳成长精选混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
015205,015205,银华全球新能源车量化优选股票(QDII)C,未知,未知,未知,未知,银华全球新能源车量化优选股票,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
005959,005959,财通新视野灵活配置混合C,未知,未知,未知,未知,财通新视野灵活配置混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020137,020137,平安医疗健康混合C,未知,未知,未知,未知,平安医疗健康混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012224,012224,信澳成长精选混合C,未知,未知,未知,未知,信澳成长精选混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016020,016020,招商中证电池主题ETF联接C,未知,未知,未知,未知,招商中证电池主题ETF联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
007089,007089,国投瑞银中证500指数量化增强C,未知,未知,未知,未知,国投瑞银中证500指数量化增强C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
005962,005962,宝盈人工智能股票A,未知,未知,未知,未知,宝盈人工智能股票A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
015306,015306,银华鑫峰混合C,未知,未知,未知,未知,银华鑫峰混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012243,012243,东方红内需增长混合B,未知,未知,未知,未知,东方红内需增长混合B,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
020180,020180,金信深圳成长混合C,未知,未知,未知,未知,金信深圳成长混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016045,016045,华商研究回报一年持有混合A,未知,未知,未知,未知,华商研究回报一年持有混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
007127,007127,博道远航混合C,未知,未知,未知,未知,博道远航混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015358,015358,摩根慧享成长混合C,未知,未知,未知,未知,摩根慧享成长混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
005963,005963,宝盈人工智能股票C,未知,未知,未知,未知,宝盈人工智能股票C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012301,012301,易方达核心智造混合,未知,未知,未知,未知,易方达核心智造混合,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016046,016046,华商研究回报一年持有混合C,未知,未知,未知,未知,华商研究回报一年持有混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
007223,007223,工银中证500ETF联接C,未知,未知,未知,未知,工银中证500ETF联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015374,015374,浙商智选新兴产业混合C,未知,未知,未知,未知,浙商智选新兴产业混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020226,020226,国泰中证全指集成电路ETF发起联接A,未知,未知,未知,未知,国泰中证全指集成电路ETF发起联接A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.10,10
016050,016050,华商高端装备制造股票C,未知,未知,未知,未知,华商高端装备制造股票C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006025,006025,诺安优化配置混合A,未知,未知,未知,未知,诺安优化配置混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
007413,007413,长城中证500指数增强C,未知,未知,未知,未知,长城中证500指数增强C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020227,020227,国泰中证全指集成电路ETF发起联接C,未知,未知,未知,未知,国泰中证全指集成电路ETF发起联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015390,015390,万家瑞兴灵活配置混合C,未知,未知,未知,未知,万家瑞兴灵活配置混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012319,012319,东财消费电子增强A,未知,未知,未知,未知,东财消费电子增强A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
012320,012320,东财消费电子增强C,未知,未知,未知,未知,东财消费电子增强C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006038,006038,大成景恒混合C,未知,未知,未知,未知,大成景恒混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016051,016051,华商万众创新混合C,未知,未知,未知,未知,华商万众创新混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
007450,007450,兴全多维价值混合C,未知,未知,未知,未知,兴全多维价值混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020232,020232,嘉实互融精选股票C,未知,未知,未知,未知,嘉实互融精选股票C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015454,015454,中欧中证500指数增强C,未知,未知,未知,未知,中欧中证500指数增强C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006080,006080,海富通电子传媒股票C,未知,未知,未知,未知,海富通电子传媒股票C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012321,012321,东财云计算增强A,未知,未知,未知,未知,东财云计算增强A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
016067,016067,鹏华新能源汽车混合A,未知,未知,未知,未知,鹏华新能源汽车混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
007465,007465,交银创业板50指数C,未知,未知,未知,未知,交银创业板50指数C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020303,020303,信澳星亮智选混合A,未知,未知,未知,未知,信澳星亮智选混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
015455,015455,信澳周期动力混合C,未知,未知,未知,未知,信澳周期动力混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016068,016068,鹏华新能源汽车混合C,未知,未知,未知,未知,鹏华新能源汽车混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020304,020304,信澳星亮智选混合C,未知,未知,未知,未知,信澳星亮智选混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012322,012322,东财云计算增强C,未知,未知,未知,未知,东财云计算增强C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
007469,007469,中信建投精选混合C,未知,未知,未知,未知,中信建投精选混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015461,015461,天弘互联网混合C,未知,未知,未知,未知,天弘互联网混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006100,006100,平安优势产业混合A,未知,未知,未知,未知,平安优势产业混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
012342,012342,广发瑞泽精选混合A,未知,未知,未知,未知,广发瑞泽精选混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
016075,016075,华夏智造升级混合A,未知,未知,未知,未知,华夏智造升级混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
020305,020305,信澳星煜智选混合A,未知,未知,未知,未知,信澳星煜智选混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
006101,006101,平安优势产业混合C,未知,未知,未知,未知,平安优势产业混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
007499,007499,光大风格轮动混合C,未知,未知,未知,未知,光大风格轮动混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015467,015467,太平中证1000指数增强C,未知,未知,未知,未知,太平中证1000指数增强C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012343,012343,广发瑞泽精选混合C,未知,未知,未知,未知,广发瑞泽精选混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
007501,007501,万家科创主题灵活配置混合(LOF)C,未知,未知,未知,未知,万家科创主题灵活配置混合,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020306,020306,信澳星煜智选混合C,未知,未知,未知,未知,信澳星煜智选混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016076,016076,华夏智造升级混合C,未知,未知,未知,未知,华夏智造升级混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015496,015496,景顺长城中证1000指数增强C,未知,未知,未知,未知,景顺长城中证1000指数增强C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020315,020315,嘉实前沿科技沪港深股票C,未知,未知,未知,未知,嘉实前沿科技沪港深股票C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016097,016097,东吴兴弘一年持有混合A,未知,未知,未知,未知,东吴兴弘一年持有混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
006250,006250,摩根动力精选混合A,未知,未知,未知,未知,摩根动力精选混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
012358,012358,汇丰晋信医疗先锋混合A,未知,未知,未知,未知,汇丰晋信医疗先锋混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
007665,007665,永赢创业板指数发起式C,未知,未知,未知,未知,永赢创业板指数发起式C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015508,015508,兴业中证500指数增强C,未知,未知,未知,未知,兴业中证500指数增强C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012359,012359,汇丰晋信医疗先锋混合C,未知,未知,未知,未知,汇丰晋信医疗先锋混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020384,020384,金信转型创新成长混合发起式C,未知,未知,未知,未知,金信转型创新成长混合发起式C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006257,006257,信澳先进智造股票型A,未知,未知,未知,未知,信澳先进智造股票型A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
007732,007732,民生加银持续成长混合C,未知,未知,未知,未知,民生加银持续成长混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015561,015561,长城双动力混合C,未知,未知,未知,未知,长城双动力混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016098,016098,东吴兴弘一年持有混合C,未知,未知,未知,未知,东吴兴弘一年持有混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020397,020397,中银港股通医药混合发起A,未知,未知,未知,未知,中银港股通医药混合发起A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
016099,016099,华安成长创新混合C,未知,未知,未知,未知,华安成长创新混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006265,006265,红土创新新科技股票,未知,未知,未知,未知,红土创新新科技股票,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
012410,012410,海富通成长领航混合A,未知,未知,未知,未知,海富通成长领航混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
007734,007734,南方智锐混合C,未知,未知,未知,未知,南方智锐混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006266,006266,永赢智能领先混合A,未知,未知,未知,未知,永赢智能领先混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
012411,012411,海富通成长领航混合C,未知,未知,未知,未知,海富通成长领航混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015577,015577,国联安上证商品ETF联接C,未知,未知,未知,未知,国联安上证商品ETF联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016157,016157,汇添富数字经济核心产业一年持有期混合A,未知,未知,未知,未知,汇添富数字经济核心产业一年持有期混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
007794,007794,申万菱信中证500指数优选增强C,未知,未知,未知,未知,申万菱信中证500指数优选增强C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020398,020398,中银港股通医药混合发起C,未知,未知,未知,未知,中银港股通医药混合发起C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015585,015585,国泰优势行业混合C,未知,未知,未知,未知,国泰优势行业混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016159,016159,汇添富数字经济核心产业一年持有期混合D,未知,未知,未知,未知,汇添富数字经济核心产业一年持有期混合D,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006269,006269,永赢智能领先混合C,未知,未知,未知,未知,永赢智能领先混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020408,020408,华商数字经济混合A,未知,未知,未知,未知,华商数字经济混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
012445,012445,华富新能源股票型发起式A,未知,未知,未知,未知,华富新能源股票型发起式A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
007816,007816,嘉实新兴科技100ETF联接C,未知,未知,未知,未知,嘉实新兴科技100ETF联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015600,015600,国泰创业板指数(LOF)C,未知,未知,未知,未知,国泰创业板指数,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020409,020409,华商数字经济混合C,未知,未知,未知,未知,华商数字经济混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006081,006081,海富通电子传媒股票A,未知,未知,未知,未知,海富通电子传媒股票A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
006299,006299,恒越核心精选混合A,未知,未知,未知,未知,恒越核心精选混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
012454,012454,淳厚鑫悦混合A,未知,未知,未知,未知,淳厚鑫悦混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,1.50,10
016165,016165,汇添富优势企业精选混合A,未知,未知,未知,未知,汇添富优势企业精选混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
007832,007832,博道伍佰智航股票C,未知,未知,未知,未知,博道伍佰智航股票C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015637,015637,摩根阿尔法混合C,未知,未知,未知,未知,摩根阿尔法混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012455,012455,淳厚鑫悦混合C,未知,未知,未知,未知,淳厚鑫悦混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016234,016234,财通景气行业混合C,未知,未知,未知,未知,财通景气行业混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
007874,007874,华宝科技ETF联接C,未知,未知,未知,未知,华宝科技ETF联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020411,020411,永赢中证沪深港黄金产业股票ETF发起联接A,未知,未知,未知,未知,永赢中证沪深港黄金产业股票ETF发起联接A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.10,10
015673,015673,鹏华创业板指数(LOF)C,未知,未知,未知,未知,鹏华创业板指数,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006433,006433,平安鑫利混合C,未知,未知,未知,未知,平安鑫利混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012456,012456,鹏扬数字经济先锋混合A,未知,未知,未知,未知,鹏扬数字经济先锋混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
007950,007950,招商量化精选股票C,未知,未知,未知,未知,招商量化精选股票C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016237,016237,华夏数字经济龙头混合发起式A,未知,未知,未知,未知,华夏数字经济龙头混合发起式A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
020412,020412,永赢中证沪深港黄金产业股票ETF发起联接C,未知,未知,未知,未知,永赢中证沪深港黄金产业股票ETF发起联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015676,015676,鹏华中证移动互联网指数(LOF)C,未知,未知,未知,未知,鹏华中证移动互联网指数,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016238,016238,华夏数字经济龙头混合发起式C,未知,未知,未知,未知,华夏数字经济龙头混合发起式C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006449,006449,浙商汇金量化精选混合A,未知,未知,未知,未知,浙商汇金量化精选混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
012457,012457,鹏扬数字经济先锋混合C,未知,未知,未知,未知,鹏扬数字经济先锋混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020458,020458,平安医药精选股票A,未知,未知,未知,未知,平安医药精选股票A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
007984,007984,申万菱信中证研发创新100ETF联接C,未知,未知,未知,未知,申万菱信中证研发创新100ETF联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006502,006502,财通集成电路产业股票A,未知,未知,未知,未知,财通集成电路产业股票A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
015677,015677,鹏华中证一带一路主题指数(LOF)C,未知,未知,未知,未知,鹏华中证一带一路主题指数,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016243,016243,广发成长领航一年持有混合A,未知,未知,未知,未知,广发成长领航一年持有混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
020459,020459,平安医药精选股票C,未知,未知,未知,未知,平安医药精选股票C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
008001,008001,鹏华中证500ETF联接C,未知,未知,未知,未知,鹏华中证500ETF联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015689,015689,富国价值增长混合C,未知,未知,未知,未知,富国价值增长混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012478,012478,富国匠心精选12个月持有混合C,未知,未知,未知,未知,富国匠心精选12个月持有混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016244,016244,广发成长领航一年持有混合C,未知,未知,未知,未知,广发成长领航一年持有混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
008038,008038,兴银先锋成长混合C,未知,未知,未知,未知,兴银先锋成长混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020464,020464,招商中证半导体产业ETF发起式联接A,未知,未知,未知,未知,招商中证半导体产业ETF发起式联接A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.12,10
015750,015750,博时优享回报混合C,未知,未知,未知,未知,博时优享回报混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006522,006522,财通新兴蓝筹混合A,未知,未知,未知,未知,财通新兴蓝筹混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
012491,012491,华商核心引力混合A,未知,未知,未知,未知,华商核心引力混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
016250,016250,华夏远见成长一年持有混合A,未知,未知,未知,未知,华夏远见成长一年持有混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
008137,008137,九泰天奕量化价值混合C,未知,未知,未知,未知,九泰天奕量化价值混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
020465,020465,招商中证半导体产业ETF发起式联接C,未知,未知,未知,未知,招商中证半导体产业ETF发起式联接C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006523,006523,财通新兴蓝筹混合C,未知,未知,未知,未知,财通新兴蓝筹混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
015754,015754,上银内需增长股票C,未知,未知,未知,未知,上银内需增长股票C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
012492,012492,华商核心引力混合C,未知,未知,未知,未知,华商核心引力混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
016251,016251,华夏远见成长一年持有混合C,未知,未知,未知,未知,华夏远见成长一年持有混合C,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.00,10
006430,006430,凯石澜龙头经济一年持有混合,未知,未知,未知,未知,凯石澜龙头经济一年持有混合,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
012477,012477,富国匠心精选12个月持有混合A,未知,未知,未知,未知,富国匠心精选12个月持有混合A,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,0.15,10
