代码,name,rose(3y),rank(3y),rank_r(3y),rose(2y),rank(2y),rank_r(2y),rose(1y),rank(1y),rank_r(1y),rose(6m),rank(6m),rank_r(6m),rose(3m),rank(3m),rank_r(3m),名称
7029,易方达中证500ETF联接发起式C,0.2671,2351,0.128329694,0.2775,4001,0.218395197,0.577,3826,0.208842795,0.2084,4850,0.264737991,0.2559,4155,0.22680131,易方达中证500ETF联接发起式C
7067,浦银安盛先进制造混合C,0.5832,662,0.036135371,0.5131,1477,0.080622271,0.7083,2556,0.139519651,0.2915,2854,0.155786026,0.3926,1897,0.103548035,浦银安盛先进制造混合C
7089,国投瑞银中证500指数量化增强C,0.2448,2597,0.141757642,0.3273,3209,0.175163755,0.573,3875,0.211517467,0.1928,5388,0.294104803,0.2186,5205,0.284115721,国投瑞银中证500指数量化增强C
7114,永赢高端制造混合C,0.703,413,0.022543668,1.136,124,0.006768559,1.6487,80,0.004366812,0.8637,93,0.005076419,0.9935,37,0.002019651,永赢高端制造混合C
7127,博道远航混合C,0.2814,2221,0.121233624,0.4181,2152,0.117467249,0.5952,3569,0.19481441,0.2496,3692,0.201528384,0.24,4615,0.25191048,博道远航混合C
7183,万家沪港深蓝筹混合C,0.2688,2337,0.127565502,0.3693,2629,0.143504367,0.6678,2881,0.157259825,0.3155,2451,0.13378821,0.2766,3737,0.203984716,万家沪港深蓝筹混合C
7223,工银中证500ETF联接C,0.2577,2456,0.134061135,0.2872,3825,0.20878821,0.5969,3543,0.193395197,0.2066,4921,0.268613537,0.2552,4185,0.228438865,工银中证500ETF联接C
7301,国联安中证半导体ETF联接C,0.6372,539,0.029421397,0.7306,631,0.034443231,1.2243,448,0.024454148,0.348,1924,0.105021834,0.443,1357,0.074072052,国联安中证半导体ETF联接C
7356,汇添富科技创新混合C,0.8243,271,0.014792576,0.97,220,0.012008734,1.3708,248,0.013537118,0.6113,345,0.018831878,0.6334,414,0.022598253,汇添富科技创新混合C
7413,长城中证500指数增强C,0.4136,1266,0.069104803,0.3629,2714,0.148144105,0.6528,3006,0.164082969,0.252,3636,0.198471616,0.2818,3650,0.199235808,长城中证500指数增强C
7450,兴全多维价值混合C,0.4139,1263,0.068941048,0.4738,1716,0.093668122,0.8259,1836,0.100218341,0.3296,2212,0.120742358,0.3498,2483,0.135534934,兴全多维价值混合C
7465,交银创业板50指数C,0.427,1203,0.065665939,0.6835,776,0.042358079,1.0862,714,0.038973799,0.5137,637,0.034770742,0.595,533,0.029093886,交银创业板50指数C
7469,中信建投精选混合C,0.4241,1221,0.066648472,0.349,2894,0.157969432,0.5821,3744,0.204366812,0.1945,5329,0.290884279,0.2044,5764,0.314628821,中信建投精选混合C
7473,华夏创业板价值ETF联接C,0.2954,2097,0.114465066,0.2889,3797,0.207259825,0.6232,3292,0.179694323,0.2015,5078,0.277183406,0.2893,3518,0.192030568,华夏创业板价值ETF联接C
7491,南方信息创新混合C,0.4354,1161,0.063373362,0.5975,1049,0.057259825,1.0838,722,0.03941048,0.3336,2155,0.117631004,0.3179,2960,0.161572052,南方信息创新混合C
7501,万家科创主题灵活配置混合(LOF)C,0.2377,2696,0.147161572,0.5829,1120,0.061135371,0.8027,1969,0.107478166,0.3627,1749,0.095469432,0.435,1444,0.078820961,万家科创主题灵活配置混合(LOF)C
7509,华商润丰灵活配置混合C,1.5965,15,0.000818777,1.4022,56,0.003056769,1.7242,54,0.002947598,0.6384,306,0.016703057,0.6207,461,0.025163755,华商润丰灵活配置混合C
7519,东方阿尔法优选混合C,0.1544,4005,0.218613537,0.7334,621,0.03389738,1.2616,393,0.021451965,0.2871,2935,0.160207424,0.5104,893,0.048744541,东方阿尔法优选混合C
7550,东兴未来价值混合C,0.5724,683,0.037281659,0.6361,914,0.04989083,0.8683,1600,0.087336245,0.2767,3130,0.170851528,0.227,4940,0.269650655,东兴未来价值混合C
7658,东方红中证竞争力指数C,0.2466,2566,0.140065502,0.3432,2983,0.162827511,0.5491,4191,0.228766376,0.2699,3260,0.177947598,0.2643,3953,0.215775109,东方红中证竞争力指数C
7665,永赢创业板指数发起式C,0.3923,1387,0.075709607,0.5583,1240,0.06768559,0.9927,1059,0.057805677,0.4401,1066,0.058187773,0.5154,845,0.046124454,永赢创业板指数发起式C
7732,民生加银持续成长混合C,0.3235,1854,0.101200873,0.402,2306,0.125873362,0.7405,2340,0.127729258,0.2005,5109,0.278875546,0.349,2497,0.136299127,民生加银持续成长混合C
7794,申万菱信中证500指数优选增强C,0.1827,3503,0.19121179,0.2788,3981,0.217303493,0.5373,4359,0.237936681,0.2104,4769,0.260316594,0.2314,4824,0.263318777,申万菱信中证500指数优选增强C
7816,嘉实新兴科技100ETF联接C,0.7063,409,0.022325328,0.4883,1620,0.088427948,0.8897,1483,0.080949782,0.4089,1334,0.072816594,0.4516,1270,0.069323144,嘉实新兴科技100ETF联接C
7818,国泰中证全指通信设备ETF联接C,2.0772,5,0.000272926,1.3569,71,0.003875546,1.5073,159,0.008679039,0.9805,63,0.003438865,0.9343,65,0.003548035,国泰中证全指通信设备ETF联接C
7827,华润元大量化优选混合C,0.5068,867,0.047325328,0.4053,2283,0.124617904,0.5883,3661,0.199836245,0.3168,2434,0.132860262,0.2903,3501,0.19110262,华润元大量化优选混合C
7832,博道伍佰智航股票C,0.4413,1140,0.062227074,0.5009,1538,0.083951965,0.7577,2218,0.121069869,0.2702,3252,0.177510917,0.2419,4550,0.248362445,博道伍佰智航股票C
7863,长信利泰灵活配置混合C,0.1443,4235,0.231168122,0.4202,2136,0.116593886,0.8766,1554,0.084825328,0.3571,1814,0.099017467,0.3498,2483,0.135534934,长信利泰灵活配置混合C
7874,华宝科技ETF联接C,0.7346,374,0.020414847,0.6242,956,0.052183406,1.024,936,0.051091703,0.4702,874,0.047707424,0.5075,912,0.049781659,华宝科技ETF联接C
7886,国联中证500ETF联接C,0.235,2723,0.148635371,0.2581,4369,0.238482533,0.5392,4339,0.236844978,0.1933,5367,0.292958515,0.2396,4630,0.252729258,国联中证500ETF联接C
7950,招商量化精选股票C,0.722,384,0.020960699,0.5669,1200,0.065502183,0.7462,2306,0.125873362,0.2213,4446,0.24268559,0.2603,4046,0.220851528,招商量化精选股票C
7984,申万菱信中证研发创新100ETF联接C,0.3414,1735,0.09470524,0.3388,3049,0.166430131,0.7358,2375,0.129639738,0.3071,2577,0.140665939,0.3429,2591,0.141430131,申万菱信中证研发创新100ETF联接C
8001,鹏华中证500ETF联接C,0.29,2136,0.116593886,0.2901,3776,0.206113537,0.5921,3612,0.197161572,0.2074,4885,0.266648472,0.2529,4255,0.232259825,鹏华中证500ETF联接C
8021,华富中证人工智能产业ETF联接C,1.3116,46,0.002510917,0.9745,214,0.011681223,1.4301,210,0.011462882,0.5968,381,0.020796943,0.712,254,0.013864629,华富中证人工智能产业ETF联接C
8084,海富通先进制造股票C,0.1358,4437,0.242194323,0.5441,1318,0.071943231,1.1203,615,0.033569869,0.4544,976,0.053275109,0.5209,823,0.044923581,海富通先进制造股票C
8087,华夏中证5G通信主题ETF联接C,1.559,19,0.001037118,1.1976,111,0.006058952,1.3523,268,0.014628821,0.8232,106,0.005786026,0.8808,86,0.004694323,华夏中证5G通信主题ETF联接C
8121,万家自主创新混合C,0.2447,2600,0.141921397,0.253,4474,0.244213974,1.2057,474,0.025873362,0.2142,4650,0.253820961,0.3104,3102,0.169323144,万家自主创新混合C
8137,九泰天奕量化价值混合C,0.3727,1506,0.08220524,0.5877,1096,0.059825328,0.7662,2163,0.118067686,0.3786,1594,0.087008734,0.4865,1036,0.056550218,九泰天奕量化价值混合C
8182,方正富邦信泓混合C,0.3257,1839,0.100382096,0.7186,669,0.036517467,1.1299,593,0.032368996,0.3406,2043,0.111517467,0.608,488,0.026637555,方正富邦信泓混合C
8187,淳厚信睿混合C,0.8449,254,0.013864629,0.9016,289,0.015775109,1.0099,988,0.053930131,0.5221,599,0.032696507,0.4684,1125,0.061408297,淳厚信睿混合C
8212,华夏新机遇混合C,0.3335,1782,0.097270742,0.4287,2082,0.113646288,0.6014,3487,0.190338428,0.2464,3762,0.205349345,0.2268,4945,0.269923581,华夏新机遇混合C
8259,中银证券中证500ETF联接C,0.2333,2745,0.149836245,0.2627,4283,0.23378821,0.5638,3989,0.217740175,0.1986,5177,0.282587336,0.2479,4406,0.240502183,中银证券中证500ETF联接C
8262,招商研究优选股票C,0.6739,463,0.025272926,0.7725,515,0.028111354,0.6562,2977,0.1625,0.4585,949,0.05180131,0.4139,1661,0.090665939,招商研究优选股票C
8265,南方ESG股票C,0.164,3845,0.209879913,0.5302,1393,0.076037118,0.6083,3415,0.186408297,0.3863,1517,0.082805677,0.33,2783,0.15191048,南方ESG股票C
8282,国泰CES半导体芯片行业ETF联接C,0.6217,582,0.031768559,0.7184,671,0.036626638,1.1989,487,0.026582969,0.3553,1840,0.100436681,0.4592,1196,0.065283843,国泰CES半导体芯片行业ETF联接C
8315,摩根慧选成长股票C,0.3503,1676,0.091484716,0.5383,1357,0.074072052,0.7214,2478,0.135262009,0.3748,1636,0.08930131,0.4859,1038,0.056659389,摩根慧选成长股票C
8319,博道久航混合C,0.4201,1243,0.067849345,0.5345,1374,0.075,0.7465,2304,0.125764192,0.2748,3167,0.172871179,0.2461,4460,0.243449782,博道久航混合C
8327,东财通信C,1.925,9,0.000491266,1.3397,76,0.004148472,1.5133,154,0.008406114,0.8737,91,0.004967249,0.8615,100,0.005458515,东财通信C
8348,中信建投甄选混合C,0.4368,1157,0.063155022,0.3803,2511,0.137063319,0.5946,3576,0.195196507,0.1986,5177,0.282587336,0.2232,5048,0.275545852,中信建投甄选混合C
8397,博时中证500ETF联接C,0.2852,2183,0.119159389,0.2936,3713,0.202674672,0.585,3710,0.202510917,0.2072,4892,0.267030568,0.2532,4246,0.231768559,博时中证500ETF联接C
8400,华泰柏瑞中证科技ETF联接C,0.6692,474,0.025873362,0.5767,1155,0.063045852,0.8325,1805,0.098526201,0.3916,1471,0.08029476,0.438,1401,0.076473799,华泰柏瑞中证科技ETF联接C
8419,惠升惠泽混合C,0.2218,2917,0.159224891,0.3364,3078,0.1680131,0.5405,4321,0.235862445,0.2697,3266,0.178275109,0.339,2668,0.145633188,惠升惠泽混合C
8423,国联研发创新混合C,0.3878,1407,0.07680131,0.5275,1409,0.07691048,0.8583,1645,0.089792576,0.4896,756,0.041266376,0.6846,301,0.016430131,国联研发创新混合C
8532,惠升惠民混合C,0.2732,2294,0.125218341,0.373,2593,0.141539301,0.7239,2454,0.133951965,0.2642,3372,0.184061135,0.2918,3468,0.18930131,惠升惠民混合C
8586,华夏人工智能ETF联接C,1.2143,75,0.004093886,0.8561,356,0.019432314,1.2771,369,0.020141921,0.4897,752,0.041048035,0.6027,504,0.027510917,华夏人工智能ETF联接C
8656,招商科技创新混合C,0.3703,1528,0.083406114,0.6811,785,0.042849345,1.1263,601,0.032805677,0.3867,1508,0.08231441,0.428,1521,0.083024017,招商科技创新混合C
8750,富国中证科技50策略ETF联接C,0.647,513,0.028002183,0.5338,1378,0.075218341,0.8807,1536,0.083842795,0.316,2447,0.133569869,0.3982,1834,0.10010917,富国中证科技50策略ETF联接C
8794,博道嘉元混合C,0.1804,3536,0.1930131,0.3815,2498,0.136353712,0.5894,3645,0.198962882,0.3309,2194,0.119759825,0.291,3480,0.189956332,博道嘉元混合C
8888,华夏国证半导体芯片ETF联接C,0.6474,510,0.027838428,0.7801,497,0.027128821,1.2444,417,0.022762009,0.3737,1645,0.089792576,0.471,1105,0.060316594,华夏国证半导体芯片ETF联接C
8892,安信价值成长混合C,0.3734,1501,0.081932314,0.4414,1962,0.10709607,0.6786,2789,0.152237991,0.2979,2739,0.149508734,0.289,3526,0.192467249,安信价值成长混合C
8920,永赢科技驱动C,0.4584,1060,0.057860262,0.7216,659,0.035971616,1.0586,815,0.0444869,0.4991,702,0.038318777,0.5844,576,0.031441048,永赢科技驱动C
8950,平安匠心优选混合C,0.403,1322,0.072161572,0.5651,1204,0.065720524,0.9217,1344,0.073362445,0.3412,2033,0.110971616,0.289,3526,0.192467249,平安匠心优选混合C
8963,建信科技创新混合C,0.2035,3168,0.172925764,0.4559,1847,0.100818777,0.7975,1995,0.10889738,0.3426,2005,0.109443231,0.3938,1882,0.102729258,建信科技创新混合C
8981,中邮科技创新精选混合C,0.493,918,0.05010917,0.6818,781,0.042631004,0.8945,1456,0.079475983,0.3122,2499,0.136408297,0.4022,1791,0.097762009,中邮科技创新精选混合C
8989,大成科技创新混合C,1.182,80,0.004366812,1.395,57,0.003111354,1.645,82,0.004475983,0.9414,75,0.004093886,0.9295,70,0.003820961,大成科技创新混合C
8998,同泰竞争优势混合C,0.2031,3175,0.17330786,0.5461,1306,0.07128821,0.8714,1583,0.086408297,0.1763,5969,0.325818777,0.4289,1510,0.082423581,同泰竞争优势混合C
9009,平安科技创新混合C,0.6409,532,0.029039301,0.9613,229,0.0125,1.5768,112,0.006113537,0.7548,162,0.008842795,0.7724,175,0.009552402,平安科技创新混合C
9013,平安创业板ETF联接C,0.3954,1368,0.074672489,0.5769,1154,0.062991266,0.9956,1047,0.057150655,0.436,1102,0.060152838,0.5107,891,0.048635371,平安创业板ETF联接C
9030,工银高质量成长混合C,0.2528,2500,0.136462882,0.2883,3809,0.207914847,0.5561,4099,0.223744541,0.2287,4226,0.230676856,0.2788,3699,0.20191048,工银高质量成长混合C
9047,东财创业板ETF发起式联接C,0.3973,1354,0.073908297,0.5596,1234,0.067358079,0.9832,1106,0.060371179,0.4357,1104,0.060262009,0.5122,876,0.047816594,东财创业板ETF发起式联接C
9056,圆信永丰大湾区C,0.5934,638,0.034825328,0.6884,762,0.041593886,0.9859,1091,0.059552402,0.4054,1367,0.074617904,0.5319,782,0.04268559,圆信永丰大湾区C
9063,财通智慧成长混合C,0.5577,719,0.039246725,1.4679,37,0.002019651,1.6091,96,0.005240175,1.0308,39,0.002128821,1.0907,17,0.000927948,财通智慧成长混合C
9127,嘉实基础产业优选股票C,0.3697,1537,0.08389738,0.4262,2099,0.114574236,0.5502,4166,0.227401747,0.2805,3061,0.167085153,0.236,4708,0.2569869,嘉实基础产业优选股票C
9142,宏利价值长青混合C,0.2169,2987,0.163045852,0.513,1478,0.080676856,0.6479,3047,0.166320961,0.3434,1995,0.10889738,0.3696,2190,0.119541485,宏利价值长青混合C
9170,湘财长兴灵活配置混合C,0.1813,3518,0.192030568,0.3529,2840,0.155021834,0.9477,1261,0.068831878,0.2319,4131,0.225491266,0.3346,2727,0.148853712,湘财长兴灵活配置混合C
9218,博时荣丰回报灵活配置混合C,0.431,1183,0.064574236,0.7434,602,0.032860262,1.0959,682,0.037227074,0.6876,212,0.011572052,0.679,312,0.017030568,博时荣丰回报灵活配置混合C
9239,融通人工智能指数(LOF)C,1.2271,71,0.003875546,0.8715,329,0.017958515,1.2823,365,0.019923581,0.4987,706,0.038537118,0.6069,492,0.026855895,融通人工智能指数(LOF)C
9243,中加核心智造混合C,0.7545,348,0.018995633,0.7743,511,0.027893013,1.0999,669,0.036517467,0.569,447,0.024399563,0.8431,110,0.006004367,中加核心智造混合C
9258,西部利得景瑞灵活配置混合C,0.3467,1699,0.092740175,0.6108,1001,0.054639738,0.8681,1602,0.087445415,0.2771,3122,0.170414847,0.359,2346,0.128056769,西部利得景瑞灵活配置混合C
9361,招商创新增长混合C,0.1753,3647,0.199072052,0.2791,3974,0.216921397,0.7701,2139,0.116757642,0.3469,1944,0.106113537,0.2498,4346,0.237227074,招商创新增长混合C
9472,广发深证100ETF联接C,0.1516,4055,0.221342795,0.2796,3959,0.21610262,0.5571,4085,0.222980349,0.2427,3846,0.209934498,0.2996,3306,0.180458515,广发深证100ETF联接C
9487,光大瑞和混合C,0.1971,3273,0.178657205,0.4568,1840,0.100436681,0.5723,3884,0.212008734,0.3233,2330,0.127183406,0.4112,1695,0.092521834,光大瑞和混合C
9492,宝盈创新驱动股票C,0.6951,427,0.02330786,1.0211,185,0.010098253,1.2865,356,0.019432314,0.6986,203,0.011080786,0.6454,380,0.020742358,宝盈创新驱动股票C
9597,泰康创新成长混合C,0.4291,1192,0.065065502,0.4886,1618,0.088318777,0.7801,2079,0.113482533,0.3545,1849,0.100927948,0.4425,1363,0.074399563,泰康创新成长混合C
9609,广发中证500指数增强C,0.2545,2488,0.13580786,0.3207,3294,0.179803493,0.5679,3937,0.214901747,0.2104,4769,0.260316594,0.2118,5444,0.297161572,广发中证500指数增强C
9645,东方阿尔法优势产业混合C,0.1718,3704,0.202183406,0.8356,390,0.02128821,1.1806,512,0.027947598,0.6434,296,0.016157205,0.7642,185,0.010098253,东方阿尔法优势产业混合C
9708,工银新兴制造混合C,1.2359,67,0.003657205,1.2672,87,0.004748908,1.476,186,0.010152838,0.4902,749,0.040884279,0.5511,700,0.038209607,工银新兴制造混合C
9801,长盛制造精选混合C,0.217,2984,0.162882096,0.4446,1937,0.105731441,0.713,2530,0.138100437,0.2662,3331,0.181823144,0.2697,3877,0.211626638,长盛制造精选混合C
9828,融通转型三动力灵活配置混合C,0.1515,4060,0.221615721,0.4375,1997,0.10900655,0.6794,2778,0.151637555,0.44,1068,0.058296943,0.5845,575,0.031386463,融通转型三动力灵活配置混合C
9848,圆信永丰研究精选混合C,0.1483,4142,0.226091703,0.3851,2461,0.134334061,0.653,3004,0.163973799,0.2823,3025,0.165120087,0.3738,2111,0.115229258,圆信永丰研究精选混合C
9856,中加新兴成长混合C,0.4796,963,0.052565502,0.8178,422,0.023034934,1.2442,419,0.022871179,0.6573,262,0.01430131,0.8782,90,0.004912664,中加新兴成长混合C
9870,嘉实产业先锋混合C,0.3302,1806,0.098580786,0.3727,2597,0.141757642,0.8249,1844,0.100655022,0.3195,2394,0.130676856,0.2878,3547,0.193613537,嘉实产业先锋混合C
9883,华润元大核心动力混合C,0.6363,542,0.029585153,0.9699,221,0.012063319,1.0717,770,0.042030568,0.5913,394,0.02150655,0.6078,489,0.02669214,华润元大核心动力混合C
9897,广发港股通成长精选股票C,0.2605,2429,0.132587336,0.3106,3439,0.187718341,0.5663,3961,0.21621179,0.2228,4397,0.240010917,0.2108,5473,0.298744541,广发港股通成长精选股票C
9910,嘉实动力先锋混合C,0.2878,2160,0.11790393,0.347,2926,0.159716157,0.8296,1817,0.099181223,0.325,2294,0.125218341,0.2844,3599,0.196451965,嘉实动力先锋混合C
9912,九泰天富改革混合C,0.3311,1799,0.09819869,0.3282,3196,0.174454148,0.5757,3843,0.209770742,0.2071,4897,0.267303493,0.2889,3530,0.19268559,九泰天富改革混合C
9930,南方创新驱动混合C,0.1674,3773,0.205949782,0.4303,2070,0.112991266,0.5705,3897,0.212718341,0.3423,2012,0.109825328,0.4282,1517,0.082805677,南方创新驱动混合C
9982,万家创业板指数增强C,0.3857,1421,0.077565502,0.5971,1051,0.057368996,1.0283,921,0.050272926,0.4904,748,0.040829694,0.5158,842,0.045960699,万家创业板指数增强C
9995,嘉实创新先锋混合C,0.8495,250,0.013646288,1.019,188,0.010262009,1.0972,678,0.037008734,0.2809,3050,0.166484716,0.3399,2654,0.144868996,嘉实创新先锋混合C
10004,景顺长城电子信息产业股票C,0.5858,656,0.03580786,0.4857,1635,0.089246725,1.0051,1013,0.05529476,0.2157,4611,0.25169214,0.2819,3647,0.199072052,景顺长城电子信息产业股票C
10026,广发聚瑞混合C,0.4111,1280,0.069868996,0.4082,2256,0.123144105,0.8207,1861,0.101582969,0.3232,2332,0.127292576,0.3699,2185,0.119268559,广发聚瑞混合C
10034,安信成长精选混合C,0.6174,589,0.032150655,1.2316,98,0.005349345,1.5037,164,0.008951965,0.8909,86,0.004694323,0.6501,371,0.020251092,安信成长精选混合C
10052,长城久嘉创新成长混合C,0.1942,3323,0.181386463,0.5237,1424,0.077729258,1.0793,743,0.040556769,0.2062,4934,0.269323144,0.2518,4288,0.234061135,长城久嘉创新成长混合C
10127,平安价值成长混合C,0.2751,2276,0.124235808,0.435,2021,0.110316594,0.9746,1143,0.06239083,0.4203,1237,0.067521834,0.4328,1468,0.080131004,平安价值成长混合C
10138,华泰柏瑞量化创享混合C,0.3537,1645,0.089792576,0.605,1021,0.055731441,1.025,930,0.050764192,0.4445,1027,0.056058952,0.4882,1018,0.055567686,华泰柏瑞量化创享混合C
10154,中加中证500指数增强C,0.2442,2610,0.142467249,0.3072,3487,0.190338428,0.5628,4003,0.218504367,0.1991,5163,0.281823144,0.2362,4703,0.256713974,中加中证500指数增强C
10156,长盛核心成长混合C,0.2923,2123,0.115884279,0.5315,1389,0.075818777,0.8225,1853,0.101146288,0.3027,2655,0.144923581,0.2861,3568,0.194759825,长盛核心成长混合C
10162,广发瑞安精选股票C,0.4971,901,0.049181223,0.4903,1609,0.087827511,0.8868,1497,0.081713974,0.405,1368,0.074672489,0.4349,1447,0.078984716,广发瑞安精选股票C
10203,天弘中证科技100指数增强发起C,0.6692,474,0.025873362,0.5918,1078,0.058842795,0.8467,1715,0.093613537,0.422,1221,0.066648472,0.4567,1218,0.066484716,天弘中证科技100指数增强发起C
10214,中欧互联网先锋混合C,0.6194,585,0.031932314,0.5841,1115,0.060862445,0.9546,1236,0.067467249,0.3074,2574,0.140502183,0.3268,2838,0.154912664,中欧互联网先锋混合C
10236,广发电子信息传媒股票C,0.9412,194,0.01058952,0.4809,1661,0.090665939,0.9224,1340,0.073144105,0.3991,1406,0.076746725,0.553,692,0.037772926,广发电子信息传媒股票C
10238,安信创新先锋混合发起C,0.627,564,0.030786026,1.1783,117,0.006386463,1.6816,64,0.00349345,0.7986,133,0.007259825,0.9427,57,0.003111354,安信创新先锋混合发起C
10246,华泰柏瑞量化先行混合C,0.2862,2171,0.118504367,0.3241,3245,0.177128821,0.6261,3253,0.177565502,0.2346,4065,0.221888646,0.2583,4086,0.223034934,华泰柏瑞量化先行混合C
10304,华泰柏瑞量化创盈混合C,0.2649,2370,0.129366812,0.5195,1445,0.078875546,0.9237,1334,0.072816594,0.3929,1460,0.079694323,0.4412,1371,0.074836245,华泰柏瑞量化创盈混合C
10349,诺安低碳经济股票C,0.4686,1013,0.05529476,0.3599,2760,0.150655022,0.5298,4442,0.242467249,0.2179,4538,0.247707424,0.2494,4355,0.237718341,诺安低碳经济股票C
10356,诺安创业板指数增强(LOF)C,0.3144,1933,0.1055131,0.4971,1560,0.085152838,0.9565,1228,0.067030568,0.4398,1071,0.058460699,0.5123,875,0.047762009,诺安创业板指数增强(LOF)C
10372,大成成长进取混合C,0.5886,648,0.035371179,0.658,853,0.046561135,1.046,854,0.046615721,0.2722,3219,0.175709607,0.4037,1773,0.096779476,大成成长进取混合C
10378,广发价值核心混合C,0.654,500,0.027292576,0.8393,386,0.021069869,1.0685,780,0.042576419,0.2576,3506,0.191375546,0.205,5733,0.312936681,广发价值核心混合C
10384,宝盈基础产业混合C,0.7776,310,0.016921397,0.6698,828,0.045196507,1.1421,572,0.031222707,0.3224,2348,0.128165939,0.3568,2377,0.129748908,宝盈基础产业混合C
10388,易方达医药生物股票C,0.8554,248,0.013537118,0.5687,1194,0.065174672,0.5953,3566,0.194650655,0.4704,872,0.047598253,0.2074,5625,0.307041485,易方达医药生物股票C
10392,易方达战略新兴产业股票C,1.1444,90,0.004912664,1.364,70,0.003820961,1.5835,109,0.005949782,0.8128,117,0.006386463,0.8741,95,0.00518559,易方达战略新兴产业股票C
10394,工银健康生活混合C,0.3151,1926,0.105131004,0.2862,3845,0.209879913,0.8151,1899,0.103657205,0.4746,848,0.04628821,0.2699,3873,0.211408297,工银健康生活混合C
10416,华泰柏瑞质量精选混合C,0.6854,447,0.024399563,0.9421,249,0.013591703,1.4991,169,0.009224891,1.072,25,0.001364629,0.9652,46,0.002510917,华泰柏瑞质量精选混合C
10422,海富通消费优选混合C,0.6092,604,0.032969432,0.8273,408,0.022270742,1.3118,321,0.017521834,0.525,594,0.032423581,0.3882,1940,0.105895197,海富通消费优选混合C
10428,兴银策略智选混合C,0.2442,2610,0.142467249,0.5287,1399,0.076364629,0.8982,1428,0.077947598,0.2764,3137,0.171233624,0.3771,2070,0.112991266,兴银策略智选混合C
10448,中邮未来成长混合C,0.8037,286,0.015611354,0.4122,2211,0.120687773,0.6844,2729,0.148962882,0.198,5201,0.28389738,0.2488,4378,0.238973799,中邮未来成长混合C
10453,广发瑞福精选混合C,0.2603,2435,0.132914847,0.3635,2705,0.147652838,0.5991,3514,0.191812227,0.1961,5270,0.287663755,0.2405,4600,0.251091703,广发瑞福精选混合C
10456,博时产业精选混合C,0.2224,2907,0.158679039,0.2583,4363,0.238155022,0.5435,4272,0.233187773,0.3701,1674,0.091375546,0.4929,989,0.053984716,博时产业精选混合C
10491,鹏华高质量增长混合C,0.3145,1931,0.10540393,0.5693,1189,0.064901747,1.1832,506,0.027620087,0.3953,1440,0.07860262,0.3935,1886,0.102947598,鹏华高质量增长混合C
10500,中银创新医疗混合C,1.0471,132,0.00720524,0.7659,532,0.029039301,0.9784,1129,0.061626638,0.6423,298,0.016266376,0.2399,4619,0.252128821,中银创新医疗混合C
10505,申万菱信创业板量化精选股票C,0.4364,1158,0.063209607,0.671,823,0.044923581,1.0586,815,0.0444869,0.3645,1728,0.094323144,0.3872,1954,0.106659389,申万菱信创业板量化精选股票C
10524,银华中证5G通信主题ETF联接C,1.5375,21,0.001146288,1.1775,118,0.006441048,1.3288,296,0.016157205,0.8088,122,0.006659389,0.8721,97,0.00529476,银华中证5G通信主题ETF联接C
10531,申万中证申万电子行业投资指数(LOF)C,1.027,145,0.007914847,1.0094,195,0.010644105,1.2697,384,0.020960699,0.5261,591,0.032259825,0.6081,487,0.026582969,申万中证申万电子行业投资指数(LOF)C
10563,永赢成长领航混合C,0.3451,1711,0.093395197,0.6697,829,0.045251092,1.0524,836,0.045633188,0.5529,498,0.027183406,0.6515,367,0.020032751,永赢成长领航混合C
10593,南方医药创新股票C,0.5235,806,0.043995633,0.441,1967,0.107368996,0.6829,2745,0.149836245,0.41,1327,0.072434498,0.2011,5923,0.32330786,南方医药创新股票C
10647,融通价值趋势混合C,0.6396,534,0.029148472,1.3909,58,0.003165939,1.221,452,0.024672489,0.7013,201,0.010971616,0.6976,277,0.015120087,融通价值趋势混合C
10655,天弘医药创新C,0.5581,717,0.039137555,0.4243,2112,0.115283843,0.8874,1495,0.081604803,0.4086,1336,0.072925764,0.4088,1724,0.094104803,天弘医药创新C
10677,工银传媒指数C,0.9317,202,0.011026201,0.3572,2794,0.152510917,0.7556,2232,0.121834061,0.2196,4491,0.245141921,0.2539,4220,0.230349345,工银传媒指数C
10681,华夏新兴成长股票C,0.133,4505,0.245906114,0.4192,2147,0.117194323,0.6009,3497,0.190884279,0.2532,3611,0.197106987,0.3166,2976,0.162445415,华夏新兴成长股票C
10710,安信医药健康股票C,0.4478,1109,0.060534934,0.4237,2116,0.115502183,0.9515,1251,0.068286026,0.6227,332,0.018122271,0.2592,4065,0.221888646,安信医药健康股票C
10737,易方达沪深300指数增强C,0.4276,1201,0.065556769,0.4421,1955,0.106713974,0.541,4316,0.23558952,0.2834,3009,0.164246725,0.318,2958,0.161462882,易方达沪深300指数增强C
10772,天弘国证消费100指数增强发起C,0.261,2423,0.132259825,0.3245,3241,0.17691048,0.6159,3349,0.182805677,0.2939,2813,0.153548035,0.3524,2443,0.133351528,天弘国证消费100指数增强发起C
10786,博时创业板指数C,0.3548,1637,0.089355895,0.5412,1339,0.07308952,0.9979,1037,0.056604803,0.4317,1137,0.062063319,0.5102,895,0.048853712,博时创业板指数C
10791,海富通均衡甄选混合C,0.1977,3262,0.178056769,0.3845,2466,0.134606987,0.5744,3862,0.21080786,0.3832,1549,0.084552402,0.4476,1317,0.071888646,海富通均衡甄选混合C
